flight_date,month,day_of_week,dep_hour,airline,airline_name,origin,dest,origin_city,dest_city,distance,origin_weather,dest_weather,airport_congestion,aircraft_age,turnaround_time,maintenance_flag,carrier_delay_history,nas_delay,dep_delay_minutes,is_delayed
2023-09-21,9,3,16,DL,Delta Air Lines,ATL,PHL,Atlanta,Philadelphia,1239.7,Snow,Cloudy,98,19,67.2,1,19.0,0.0,36,1
2023-01-06,1,4,12,AA,American Airlines,DEN,BWI,Denver,Baltimore,3214.9,Wind,Cloudy,70,23,68.2,0,0.0,0.0,-3,0
2023-12-26,12,1,7,DL,Delta Air Lines,DTW,LAX,Detroit,Los Angeles,3985.1,Cloudy,Rain,76,8,61.2,0,25.5,8.3,7,0
2023-11-12,11,6,13,AA,American Airlines,DFW,MSP,Dallas/Fort Worth,Minneapolis,1367.9,Wind,Clear,83,23,43.1,0,5.9,0.0,11,0
2023-06-29,6,3,6,NK,Spirit Airlines,MIA,DEN,Miami,Denver,3101.8,Snow,Fog,54,5,63.2,0,13.5,0.0,2,0
2023-11-04,11,5,8,DL,Delta Air Lines,MCO,CLT,Orlando,Charlotte,720.6,Snow,Clear,80,21,57.8,0,32.8,12.3,20,1
2023-04-28,4,4,17,F9,Frontier Airlines,BOS,ATL,Boston,Atlanta,1742.6,Wind,Thunderstorm,100,22,27.2,0,17.3,0.0,15,1
2023-04-04,4,1,19,WN,Southwest Airlines,DEN,BOS,Denver,Boston,3719.1,Snow,Fog,84,22,61.5,0,13.7,0.0,144,1
2023-11-21,11,1,17,F9,Frontier Airlines,PHL,LAX,Philadelphia,Los Angeles,4813.6,Clear,Fog,95,24,56.2,0,33.1,0.0,46,1
2023-03-06,3,0,21,DL,Delta Air Lines,MIA,BOS,Miami,Boston,2063.9,Rain,Clear,76,23,34.5,1,23.8,8.4,15,1
2023-04-24,4,0,16,B6,JetBlue Airways,DFW,DEN,Dallas/Fort Worth,Denver,1123.1,Cloudy,Thunderstorm,89,17,35.8,0,18.8,0.0,-1,0
2023-09-25,9,0,12,B6,JetBlue Airways,ORD,MCO,Chicago O'Hare,Orlando,1704.1,Snow,Rain,79,19,15.0,0,12.3,0.0,13,0
2023-05-24,5,2,13,UA,United Airlines,PHX,DFW,Phoenix,Dallas/Fort Worth,1632.1,Wind,Thunderstorm,60,21,34.5,0,14.9,0.0,5,0
2023-11-27,11,0,8,WN,Southwest Airlines,LAS,MIA,Las Vegas,Miami,4039.0,Thunderstorm,Rain,83,9,46.2,0,10.3,21.6,37,1
2023-05-25,5,3,21,AA,American Airlines,BOS,DFW,Boston,Dallas/Fort Worth,3085.8,Rain,Fog,75,12,15.0,0,30.7,3.4,38,1
2023-02-27,2,0,18,F9,Frontier Airlines,LAS,SFO,Las Vegas,San Francisco,846.5,Wind,Rain,85,24,68.0,0,28.6,0.0,24,1
2023-03-21,3,1,14,UA,United Airlines,DEN,DFW,Denver,Dallas/Fort Worth,1132.0,Snow,Wind,75,9,34.5,0,5.3,0.0,99,1
2023-01-12,1,3,21,F9,Frontier Airlines,SEA,JFK,Seattle,New York JFK,5548.9,Cloudy,Cloudy,64,18,32.9,0,1.7,0.0,16,1
2023-07-31,7,0,15,F9,Frontier Airlines,BOS,DTW,Boston,Detroit,1331.3,Clear,Wind,74,5,25.2,0,33.3,0.0,15,1
2023-10-16,10,0,18,DL,Delta Air Lines,DTW,BWI,Detroit,Baltimore,882.8,Rain,Thunderstorm,82,1,34.8,0,0.0,10.0,-1,0
2023-12-24,12,6,20,NK,Spirit Airlines,DEN,JFK,Denver,New York JFK,3399.9,Fog,Rain,69,9,24.5,0,20.4,0.0,15,1
2023-06-03,6,5,13,AS,Alaska Airlines,ORD,SLC,Chicago O'Hare,Salt Lake City,2684.6,Snow,Thunderstorm,82,16,62.3,0,29.0,0.0,173,1
2023-07-11,7,1,5,AS,Alaska Airlines,BWI,LAX,Baltimore,Los Angeles,4650.0,Snow,Fog,40,2,48.0,0,0.0,0.0,13,0
2023-03-22,3,2,21,WN,Southwest Airlines,MCO,BWI,Orlando,Baltimore,1214.5,Snow,Wind,71,13,44.2,0,0.0,0.0,65,1
2023-01-08,1,6,9,WN,Southwest Airlines,ORD,DFW,Chicago O'Hare,Dallas/Fort Worth,1475.8,Snow,Wind,87,19,32.8,0,9.4,3.1,33,1
2023-03-19,3,6,11,UA,United Airlines,LAS,PHL,Las Vegas,Philadelphia,4415.0,Wind,Wind,60,4,48.2,0,7.6,2.3,8,0
2023-08-04,8,4,17,DL,Delta Air Lines,MSP,CLT,Minneapolis,Charlotte,1763.9,Fog,Wind,78,15,27.5,0,0.0,0.0,56,1
2023-09-30,9,5,10,DL,Delta Air Lines,PHX,BWI,Phoenix,Baltimore,3956.8,Rain,Fog,67,4,15.0,0,30.2,0.0,20,1
2023-01-06,1,4,20,F9,Frontier Airlines,LAX,MSP,Los Angeles,Minneapolis,3075.3,Rain,Thunderstorm,74,21,38.1,0,8.7,1.7,137,1
2023-09-04,9,0,7,NK,Spirit Airlines,SEA,DEN,Seattle,Denver,2150.7,Thunderstorm,Thunderstorm,78,24,43.7,0,20.7,0.0,147,1
2023-05-13,5,5,9,AS,Alaska Airlines,DFW,CLT,Dallas/Fort Worth,Charlotte,1847.0,Cloudy,Thunderstorm,82,1,22.1,0,23.0,3.3,15,1
2023-06-27,6,1,13,B6,JetBlue Airways,MCO,BOS,Orlando,Boston,1954.3,Clear,Clear,61,9,29.8,0,0.0,0.0,6,0
2023-11-30,11,3,21,UA,United Airlines,LAS,LAX,Las Vegas,Los Angeles,393.0,Cloudy,Clear,75,22,53.0,0,22.0,0.0,15,1
2023-03-19,3,6,14,WN,Southwest Airlines,BOS,MCO,Boston,Orlando,1983.1,Snow,Rain,75,6,38.9,0,35.0,0.0,56,1
2023-11-05,11,6,20,UA,United Airlines,SFO,CLT,San Francisco,Charlotte,4528.6,Fog,Rain,83,10,50.1,0,10.8,0.0,-2,0
2023-06-06,6,1,9,AA,American Airlines,DEN,ATL,Denver,Atlanta,2353.9,Fog,Thunderstorm,71,6,37.8,0,7.2,0.0,52,1
2023-06-06,6,1,10,WN,Southwest Airlines,BOS,LAX,Boston,Los Angeles,5233.9,Clear,Fog,77,11,62.7,0,18.6,0.0,26,1
2023-12-12,12,1,21,WN,Southwest Airlines,BOS,SEA,Boston,Seattle,5844.4,Clear,Thunderstorm,85,4,46.9,0,27.0,0.0,15,1
2023-10-23,10,0,19,UA,United Airlines,ATL,DTW,Atlanta,Detroit,992.4,Cloudy,Cloudy,108,23,83.1,0,20.2,2.0,3,0
2023-10-18,10,2,12,AA,American Airlines,MIA,JFK,Miami,New York JFK,1735.3,Thunderstorm,Snow,67,12,25.6,0,19.7,0.2,122,1
2023-05-30,5,1,10,DL,Delta Air Lines,LGA,SFO,New York LaGuardia,San Francisco,5319.5,Wind,Fog,84,22,83.6,1,15.6,0.0,215,1
2023-02-01,2,2,13,AA,American Airlines,BOS,LGA,Boston,New York LaGuardia,327.0,Snow,Snow,76,17,46.6,0,3.2,9.9,4,0
2023-06-11,6,6,12,NK,Spirit Airlines,BWI,SFO,Baltimore,San Francisco,5086.9,Snow,Clear,53,24,45.4,0,0.9,0.0,162,1
2023-04-02,4,6,10,DL,Delta Air Lines,ORD,DTW,Chicago O'Hare,Detroit,568.2,Wind,Wind,75,14,51.3,0,0.0,0.0,14,0
2023-01-11,1,2,10,DL,Delta Air Lines,ORD,BOS,Chicago O'Hare,Boston,1963.5,Fog,Snow,91,9,18.7,0,9.6,0.0,136,1
2023-04-30,4,6,22,NK,Spirit Airlines,LGA,SLC,New York LaGuardia,Salt Lake City,4338.0,Cloudy,Clear,91,4,55.1,0,18.0,0.0,4,0
2023-12-22,12,4,13,DL,Delta Air Lines,LGA,DEN,New York LaGuardia,Denver,3451.5,Snow,Thunderstorm,75,10,38.6,0,8.5,0.0,74,1
2023-11-05,11,6,9,B6,JetBlue Airways,LGA,MSP,New York LaGuardia,Minneapolis,2178.1,Fog,Cloudy,80,8,48.0,0,17.3,0.0,9,0
2023-06-01,6,3,21,B6,JetBlue Airways,ATL,DEN,Atlanta,Denver,2371.9,Fog,Clear,101,17,83.4,0,14.0,0.0,15,1
2023-01-17,1,1,12,B6,JetBlue Airways,MIA,SEA,Miami,Seattle,5169.0,Thunderstorm,Fog,78,6,39.0,0,7.7,0.0,243,1
2023-11-07,11,1,14,WN,Southwest Airlines,PHL,CLT,Philadelphia,Charlotte,804.9,Thunderstorm,Thunderstorm,68,22,45.6,0,15.1,0.0,15,1
2023-01-26,1,3,6,DL,Delta Air Lines,PHL,SFO,Philadelphia,San Francisco,5140.9,Cloudy,Fog,47,8,40.8,0,14.6,0.0,12,0
2023-04-13,4,3,6,NK,Spirit Airlines,ORD,BOS,Chicago O'Hare,Boston,1909.3,Clear,Clear,72,8,15.0,0,2.2,0.0,7,0
2023-07-29,7,5,14,B6,JetBlue Airways,MCO,BOS,Orlando,Boston,1927.1,Wind,Thunderstorm,82,20,61.0,1,41.0,2.5,38,1
2023-12-06,12,2,18,AS,Alaska Airlines,LGA,ORD,New York LaGuardia,Chicago O'Hare,1530.5,Snow,Rain,119,18,16.0,0,2.9,15.0,15,1
2023-07-17,7,0,22,NK,Spirit Airlines,MSP,MIA,Minneapolis,Miami,2554.4,Cloudy,Thunderstorm,55,19,45.8,0,8.6,1.0,0,0
2023-01-05,1,3,7,NK,Spirit Airlines,LGA,LAS,New York LaGuardia,Las Vegas,4585.1,Thunderstorm,Wind,97,10,17.5,0,46.7,0.0,79,1
2023-03-30,3,3,15,AS,Alaska Airlines,DEN,LAX,Denver,Los Angeles,1548.4,Cloudy,Fog,64,2,31.8,0,20.4,0.0,26,1
2023-02-07,2,1,10,B6,JetBlue Airways,PHL,SLC,Philadelphia,Salt Lake City,4133.6,Cloudy,Cloudy,68,5,45.6,0,25.3,0.0,2,0
2023-12-13,12,2,19,AA,American Airlines,JFK,CLT,New York JFK,Charlotte,978.5,Cloudy,Cloudy,98,13,53.2,0,25.1,0.0,107,1
2023-11-10,11,4,13,NK,Spirit Airlines,MCO,MIA,Orlando,Miami,390.7,Thunderstorm,Cloudy,80,18,51.3,0,19.0,1.7,321,1
2023-01-17,1,1,8,DL,Delta Air Lines,BOS,ORD,Boston,Chicago O'Hare,1855.7,Clear,Snow,108,15,34.9,0,10.5,0.0,11,0
2023-07-12,7,2,7,F9,Frontier Airlines,BWI,SLC,Baltimore,Salt Lake City,3933.2,Wind,Fog,74,3,19.4,1,28.8,0.0,161,1
2023-02-27,2,0,5,DL,Delta Air Lines,MSP,LAX,Minneapolis,Los Angeles,2986.9,Snow,Fog,43,2,42.3,0,10.2,0.0,9,0
2023-12-23,12,5,16,AS,Alaska Airlines,SLC,DEN,Salt Lake City,Denver,800.2,Wind,Rain,61,15,33.3,0,21.4,0.0,6,0
2023-07-27,7,3,14,WN,Southwest Airlines,MSP,BWI,Minneapolis,Baltimore,2024.3,Clear,Thunderstorm,56,24,15.0,0,27.5,0.0,15,1
2023-08-24,8,3,10,AA,American Airlines,JFK,LGA,New York JFK,New York LaGuardia,200.0,Rain,Clear,81,21,23.2,0,34.7,3.1,12,0
2023-04-05,4,2,17,UA,United Airlines,BOS,ATL,Boston,Atlanta,1823.5,Cloudy,Clear,100,15,57.7,0,30.0,0.0,19,1
2023-01-02,1,0,14,AA,American Airlines,BOS,ATL,Boston,Atlanta,1820.3,Fog,Cloudy,71,6,72.0,0,21.4,0.9,68,1
2023-05-03,5,2,6,AS,Alaska Airlines,LAS,SFO,Las Vegas,San Francisco,743.8,Wind,Wind,58,20,57.9,0,16.1,0.0,-3,0
2023-05-07,5,6,14,DL,Delta Air Lines,MSP,MIA,Minneapolis,Miami,2606.8,Thunderstorm,Fog,62,13,21.6,0,25.5,0.0,13,0
2023-10-27,10,4,14,DL,Delta Air Lines,SLC,DEN,Salt Lake City,Denver,761.6,Fog,Clear,47,1,53.5,0,26.3,0.0,14,0
2023-06-01,6,3,14,UA,United Airlines,LAS,DFW,Las Vegas,Dallas/Fort Worth,2027.2,Clear,Rain,72,15,42.4,0,23.8,0.0,6,0
2023-05-11,5,3,15,F9,Frontier Airlines,DTW,ATL,Detroit,Atlanta,978.9,Wind,Cloudy,57,14,34.7,0,8.0,0.0,32,1
2023-01-14,1,5,13,AA,American Airlines,CLT,LAX,Charlotte,Los Angeles,4154.5,Cloudy,Fog,63,2,70.8,0,30.4,1.3,8,0
2023-03-21,3,1,14,DL,Delta Air Lines,PHX,LAS,Phoenix,Las Vegas,378.2,Fog,Fog,61,20,38.6,0,0.0,0.0,6,0
2023-11-08,11,2,15,NK,Spirit Airlines,JFK,BOS,New York JFK,Boston,422.2,Snow,Clear,91,9,55.9,1,15.5,3.0,42,1
2023-06-28,6,2,6,DL,Delta Air Lines,CLT,BWI,Charlotte,Baltimore,654.1,Thunderstorm,Rain,53,18,51.8,0,4.3,0.8,2,0
2023-12-07,12,3,8,F9,Frontier Airlines,JFK,DEN,New York JFK,Denver,3434.5,Wind,Cloudy,109,23,47.3,0,18.6,0.0,2,0
2023-03-17,3,4,8,AA,American Airlines,MSP,DFW,Minneapolis,Dallas/Fort Worth,1341.9,Fog,Rain,81,2,55.0,0,25.1,0.0,90,1
2023-11-20,11,0,16,AS,Alaska Airlines,MSP,DFW,Minneapolis,Dallas/Fort Worth,1383.1,Fog,Thunderstorm,64,9,56.8,0,11.1,5.2,67,1
2023-07-18,7,1,14,UA,United Airlines,ATL,BWI,Atlanta,Baltimore,950.8,Clear,Snow,82,14,71.5,0,0.0,0.0,0,0
2023-04-27,4,3,19,AA,American Airlines,PHX,DEN,Phoenix,Denver,1049.0,Rain,Fog,89,15,60.3,0,0.0,0.0,104,1
2023-04-17,4,0,5,NK,Spirit Airlines,DTW,DFW,Detroit,Dallas/Fort Worth,1828.2,Clear,Snow,45,20,53.3,0,15.6,0.0,59,1
2023-01-02,1,0,10,WN,Southwest Airlines,MIA,SFO,Miami,San Francisco,4891.5,Snow,Cloudy,74,7,59.2,0,8.4,0.0,15,1
2023-11-06,11,0,14,F9,Frontier Airlines,BOS,MCO,Boston,Orlando,1935.4,Fog,Thunderstorm,79,24,78.8,0,2.6,0.0,116,1
2023-03-01,3,2,16,AA,American Airlines,BWI,CLT,Baltimore,Charlotte,612.5,Fog,Snow,59,15,52.5,0,11.4,0.0,25,1
2023-06-09,6,4,16,AA,American Airlines,MSP,BOS,Minneapolis,Boston,2476.7,Wind,Clear,63,3,83.7,0,32.1,2.1,-2,0
2023-08-06,8,6,11,F9,Frontier Airlines,SFO,MSP,San Francisco,Minneapolis,3314.9,Clear,Clear,87,3,19.7,0,2.5,0.0,84,1
2023-01-05,1,3,7,F9,Frontier Airlines,SEA,JFK,Seattle,New York JFK,5523.9,Cloudy,Rain,76,2,58.1,0,21.9,0.0,15,1
2023-10-27,10,4,7,B6,JetBlue Airways,BOS,PHL,Boston,Philadelphia,642.2,Cloudy,Snow,86,23,34.0,0,27.4,0.0,7,0
2023-10-06,10,4,12,F9,Frontier Airlines,DEN,LAS,Denver,Las Vegas,1199.0,Fog,Clear,69,8,56.8,0,16.3,0.0,8,0
2023-10-19,10,3,11,DL,Delta Air Lines,BOS,LAX,Boston,Los Angeles,5336.1,Rain,Snow,70,1,32.3,0,0.0,0.0,-3,0
2023-05-23,5,1,22,B6,JetBlue Airways,CLT,MCO,Charlotte,Orlando,627.9,Snow,Fog,70,10,45.4,0,20.7,0.0,38,1
2023-03-07,3,1,9,UA,United Airlines,BWI,MSP,Baltimore,Minneapolis,1972.9,Wind,Fog,63,22,58.7,0,0.0,0.0,14,0
2023-01-25,1,2,16,DL,Delta Air Lines,SEA,LAX,Seattle,Los Angeles,1480.7,Cloudy,Fog,57,13,45.5,0,11.3,0.0,15,1
2023-05-10,5,2,16,UA,United Airlines,SLC,DEN,Salt Lake City,Denver,849.6,Thunderstorm,Snow,47,11,54.7,0,28.7,0.0,15,1
2023-06-05,6,0,11,UA,United Airlines,SFO,LGA,San Francisco,New York LaGuardia,5442.9,Fog,Clear,71,20,67.8,0,24.5,0.0,-3,0
2023-01-07,1,5,14,AS,Alaska Airlines,MSP,SFO,Minneapolis,San Francisco,3356.8,Snow,Fog,51,2,41.5,0,4.5,0.0,1,0
2023-03-06,3,0,11,DL,Delta Air Lines,BWI,BOS,Baltimore,Boston,719.9,Clear,Snow,57,20,53.7,0,11.1,0.0,14,0
2023-02-11,2,5,18,B6,JetBlue Airways,LGA,LAS,New York LaGuardia,Las Vegas,4639.4,Cloudy,Snow,122,2,21.0,0,10.9,11.6,51,1
2023-10-17,10,1,12,AS,Alaska Airlines,SEA,BWI,Seattle,Baltimore,5116.3,Fog,Cloudy,69,1,47.5,0,22.9,0.0,15,1
2023-05-28,5,6,18,DL,Delta Air Lines,MSP,DFW,Minneapolis,Dallas/Fort Worth,1457.1,Rain,Thunderstorm,81,19,62.8,0,22.2,0.4,2,0
2023-09-13,9,2,10,AA,American Airlines,LAX,PHL,Los Angeles,Philadelphia,4820.7,Fog,Thunderstorm,91,23,41.2,1,29.6,0.0,108,1
2023-01-11,1,2,6,AA,American Airlines,SEA,SLC,Seattle,Salt Lake City,1453.6,Cloudy,Rain,50,18,41.7,0,12.2,0.0,85,1
2023-04-29,4,5,20,WN,Southwest Airlines,LAS,PHL,Las Vegas,Philadelphia,4491.8,Snow,Thunderstorm,74,7,32.8,0,13.5,0.0,57,1
2023-09-26,9,1,9,B6,JetBlue Airways,DTW,SLC,Detroit,Salt Lake City,3163.6,Cloudy,Snow,68,13,67.2,0,10.0,0.0,15,1
2023-01-30,1,0,20,NK,Spirit Airlines,DEN,PHL,Denver,Philadelphia,3277.0,Fog,Snow,83,4,26.9,0,27.9,4.0,64,1
2023-03-07,3,1,11,B6,JetBlue Airways,LAS,DFW,Las Vegas,Dallas/Fort Worth,2019.8,Clear,Thunderstorm,60,17,56.6,0,26.2,0.0,13,0
2023-04-11,4,1,8,NK,Spirit Airlines,DFW,MIA,Dallas/Fort Worth,Miami,2031.1,Rain,Rain,112,21,59.0,1,11.1,0.0,188,1
2023-08-09,8,2,16,F9,Frontier Airlines,DEN,LGA,Denver,New York LaGuardia,3399.7,Clear,Fog,64,24,60.4,0,20.9,0.0,15,1
2023-06-01,6,3,11,AS,Alaska Airlines,JFK,DFW,New York JFK,Dallas/Fort Worth,2582.4,Clear,Rain,78,18,57.0,0,22.7,1.0,14,0
2023-08-28,8,0,9,NK,Spirit Airlines,JFK,PHL,New York JFK,Philadelphia,227.3,Thunderstorm,Cloudy,81,16,49.6,0,1.2,6.0,71,1
2023-07-17,7,0,14,B6,JetBlue Airways,SLC,CLT,Salt Lake City,Charlotte,3477.4,Thunderstorm,Thunderstorm,49,17,21.1,0,16.6,0.0,189,1
2023-05-09,5,1,18,WN,Southwest Airlines,JFK,MCO,New York JFK,Orlando,1608.9,Cloudy,Fog,92,20,50.3,1,16.2,1.7,21,1
2023-08-08,8,1,18,DL,Delta Air Lines,PHL,LGA,Philadelphia,New York LaGuardia,200.0,Fog,Clear,84,24,68.5,1,25.5,0.0,149,1
2023-03-11,3,5,20,DL,Delta Air Lines,MIA,PHL,Miami,Philadelphia,1762.0,Wind,Rain,81,24,58.3,0,5.8,5.3,52,1
2023-12-11,12,0,21,WN,Southwest Airlines,LAS,ATL,Las Vegas,Atlanta,3399.3,Cloudy,Thunderstorm,71,17,36.9,0,10.1,0.0,11,0
2023-01-17,1,1,15,AS,Alaska Airlines,JFK,LAX,New York JFK,Los Angeles,4939.6,Rain,Cloudy,90,16,42.0,0,13.6,0.0,6,0
2023-12-10,12,6,18,AS,Alaska Airlines,MCO,ORD,Orlando,Chicago O'Hare,1640.2,Cloudy,Rain,100,22,33.0,1,18.6,1.5,2,0
2023-02-27,2,0,18,AA,American Airlines,LAX,DFW,Los Angeles,Dallas/Fort Worth,2333.0,Thunderstorm,Rain,114,6,32.9,0,0.0,2.9,16,1
2023-01-08,1,6,11,WN,Southwest Airlines,LAS,DFW,Las Vegas,Dallas/Fort Worth,1993.8,Snow,Cloudy,78,18,28.1,0,24.8,0.0,-3,0
2023-10-10,10,1,10,F9,Frontier Airlines,JFK,ATL,New York JFK,Atlanta,1447.5,Fog,Clear,76,16,42.0,0,3.4,10.7,8,0
2023-01-16,1,0,22,B6,JetBlue Airways,BOS,LAX,Boston,Los Angeles,5284.3,Clear,Snow,76,20,41.2,0,16.9,9.8,12,0
2023-05-14,5,6,17,WN,Southwest Airlines,MIA,LAX,Miami,Los Angeles,4309.3,Thunderstorm,Fog,92,2,47.0,0,16.1,0.6,102,1
2023-06-12,6,0,8,AA,American Airlines,SLC,DTW,Salt Lake City,Detroit,3204.2,Cloudy,Snow,76,12,26.8,0,15.4,5.6,58,1
2023-06-05,6,0,17,AS,Alaska Airlines,LAS,ATL,Las Vegas,Atlanta,3427.4,Thunderstorm,Rain,94,4,40.0,0,19.3,7.2,115,1
2023-02-08,2,2,19,WN,Southwest Airlines,BOS,PHL,Boston,Philadelphia,565.3,Snow,Snow,87,24,41.4,0,9.3,2.7,48,1
2023-10-08,10,6,12,AS,Alaska Airlines,JFK,LGA,New York JFK,New York LaGuardia,200.0,Fog,Wind,87,19,58.3,0,9.7,0.0,82,1
2023-11-13,11,0,7,AA,American Airlines,LAS,ATL,Las Vegas,Atlanta,3326.4,Fog,Rain,85,9,40.6,1,24.5,0.0,15,1
2023-03-03,3,4,19,AS,Alaska Airlines,PHX,ORD,Phoenix,Chicago O'Hare,2925.0,Cloudy,Thunderstorm,90,21,31.1,0,17.4,0.0,89,1
2023-08-04,8,4,21,F9,Frontier Airlines,BOS,PHL,Boston,Philadelphia,488.8,Cloudy,Clear,68,21,43.4,0,31.4,3.6,24,1
2023-03-08,3,2,16,DL,Delta Air Lines,LAX,MCO,Los Angeles,Orlando,4200.4,Fog,Fog,76,18,38.4,1,0.0,1.6,7,0
2023-08-29,8,1,15,AS,Alaska Airlines,ORD,LGA,Chicago O'Hare,New York LaGuardia,1518.3,Rain,Clear,72,8,35.0,1,11.9,0.0,65,1
2023-12-29,12,4,6,AA,American Airlines,LAS,DEN,Las Vegas,Denver,1199.0,Cloudy,Thunderstorm,56,7,38.5,0,15.7,3.0,7,0
2023-01-01,1,6,12,UA,United Airlines,PHX,SEA,Phoenix,Seattle,1943.5,Rain,Rain,74,7,52.6,0,21.9,6.3,11,0
2023-06-24,6,5,20,DL,Delta Air Lines,LAX,DEN,Los Angeles,Denver,1681.7,Rain,Rain,84,19,62.0,0,37.0,0.0,84,1
2023-09-15,9,4,16,AA,American Airlines,MCO,LAX,Orlando,Los Angeles,4174.9,Snow,Cloudy,63,7,58.7,0,8.9,0.0,56,1
2023-10-23,10,0,19,AA,American Airlines,PHX,ORD,Phoenix,Chicago O'Hare,2857.6,Snow,Clear,85,5,47.4,0,4.7,0.0,138,1
2023-04-17,4,0,12,UA,United Airlines,BOS,LAS,Boston,Las Vegas,4998.9,Snow,Thunderstorm,83,12,34.9,0,0.0,0.0,68,1
2023-04-10,4,0,12,F9,Frontier Airlines,SFO,LAX,San Francisco,Los Angeles,566.2,Cloudy,Fog,69,24,48.4,0,0.0,2.4,5,0
2023-11-01,11,2,8,F9,Frontier Airlines,DEN,LAS,Denver,Las Vegas,1174.9,Wind,Snow,103,13,36.1,0,3.9,1.2,4,0
2023-02-20,2,0,6,UA,United Airlines,DTW,MCO,Detroit,Orlando,1551.1,Thunderstorm,Cloudy,56,5,15.0,0,2.8,0.0,75,1
2023-05-06,5,5,12,B6,JetBlue Airways,PHL,DFW,Philadelphia,Dallas/Fort Worth,2539.6,Snow,Cloudy,60,23,51.0,0,4.4,0.3,23,1
2023-10-27,10,4,19,WN,Southwest Airlines,SLC,ATL,Salt Lake City,Atlanta,3115.7,Fog,Clear,70,15,37.2,0,20.6,0.0,26,1
2023-06-01,6,3,15,B6,JetBlue Airways,SFO,LAS,San Francisco,Las Vegas,819.0,Fog,Clear,88,21,36.5,0,9.1,6.8,15,1
2023-07-03,7,0,10,AS,Alaska Airlines,PHX,JFK,Phoenix,New York JFK,4213.4,Clear,Rain,77,12,44.2,0,31.4,0.0,9,0
2023-07-22,7,5,20,UA,United Airlines,BWI,LGA,Baltimore,New York LaGuardia,417.7,Fog,Snow,65,16,39.9,0,1.2,1.9,15,1
2023-07-08,7,5,20,F9,Frontier Airlines,BWI,MIA,Baltimore,Miami,1587.8,Thunderstorm,Snow,60,21,62.2,0,9.7,15.8,496,1
2023-09-21,9,3,22,F9,Frontier Airlines,SFO,SEA,San Francisco,Seattle,1083.9,Fog,Clear,66,8,39.7,0,26.9,0.0,15,1
2023-09-22,9,4,17,AS,Alaska Airlines,DFW,SFO,Dallas/Fort Worth,San Francisco,2896.5,Rain,Fog,110,13,45.5,0,21.1,3.5,74,1
2023-07-07,7,4,9,DL,Delta Air Lines,BOS,PHL,Boston,Philadelphia,566.2,Cloudy,Clear,68,23,39.9,0,12.4,5.1,13,0
2023-02-22,2,2,12,AA,American Airlines,LGA,MCO,New York LaGuardia,Orlando,1500.2,Snow,Rain,72,18,57.1,0,5.3,0.0,54,1
